Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/80-percent/4-tasks/taskset-123,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-124,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-124,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-124,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-125,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-125,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-125,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-126,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-126,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-126,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-127,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-127,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-127,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-128,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-128,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-128,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-129,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-129,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-129,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-13,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-13,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-13,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-130,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-130,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-130,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-131,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-131,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-131,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-132,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-132,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-132,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-133,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-133,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-133,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-134,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-134,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-134,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-135,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-135,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-135,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-136,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-136,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-136,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-137,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-137,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-137,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-138,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-138,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-138,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-139,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-139,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-139,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-14,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-14,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-14,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-140,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-140,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-140,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-141,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-141,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-141,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-142,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-142,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-142,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-143,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-143,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-143,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-144,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-144,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-144,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-145,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-145,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-145,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-146,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-146,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-146,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-147,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-147,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-147,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-148,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-148,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-148,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-149,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-149,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-149,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-15,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-15,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-15,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-150,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-150,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-150,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-151,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-151,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-151,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-152,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-152,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-152,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-153,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-153,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-153,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-154,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-154,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-154,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-155,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-155,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-155,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-156,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-156,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-156,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-157,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-157,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-157,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-158,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-158,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-158,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-159,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-159,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-159,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-16,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-16,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-16,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-160,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-160,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-160,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-161,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-161,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-161,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-162,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-162,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-162,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-163,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-163,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-163,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-164,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-164,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-164,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-165,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-165,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-165,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-166,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-166,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-166,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-167,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-167,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-167,rr,4,80%,2
