Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/80-percent/14-tasks/taskset-202,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-202,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-202,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-203,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-203,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-203,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-204,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-204,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-204,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-205,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-205,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-205,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-206,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-206,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-206,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-207,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-207,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-207,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-208,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-208,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-208,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-209,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-209,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-209,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-21,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-21,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-21,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-210,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-210,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-210,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-211,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-211,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-211,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-212,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-212,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-212,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-213,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-213,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-213,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-214,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-214,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-214,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-215,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-215,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-215,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-216,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-216,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-216,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-217,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-217,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-217,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-218,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-218,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-218,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-219,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-219,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-219,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-22,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-22,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-22,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-220,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-220,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-220,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-221,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-221,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-221,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-222,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-222,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-222,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-223,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-223,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-223,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-224,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-224,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-224,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-225,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-225,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-225,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-226,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-226,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-226,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-227,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-227,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-227,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-228,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-228,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-228,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-229,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-229,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-229,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-23,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-23,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-23,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-230,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-230,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-230,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-231,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-231,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-231,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-232,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-232,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-232,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-233,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-233,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-233,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-234,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-234,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-234,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-235,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-235,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-235,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-236,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-236,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-236,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-237,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-237,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-237,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-238,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-238,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-238,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-239,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-239,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-239,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-24,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-24,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-24,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-240,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-240,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-240,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-241,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-241,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-241,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-242,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-242,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-242,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-243,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-243,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-243,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-244,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-244,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-244,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-245,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-245,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-245,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-246,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-246,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-246,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-247,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-247,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-247,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-248,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-248,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-248,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-249,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-249,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-249,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-25,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-25,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-25,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-250,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-250,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-250,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-251,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-251,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-251,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-252,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-252,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-252,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-253,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-253,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-253,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-254,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-254,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-254,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-255,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-255,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-255,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-256,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-256,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-256,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-257,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-257,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-257,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-258,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-258,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-258,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-259,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-259,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-259,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-26,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-26,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-26,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-260,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-260,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-260,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-261,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-261,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-261,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-262,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-262,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-262,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-263,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-263,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-263,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-264,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-264,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-264,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-265,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-265,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-265,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-266,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-266,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-266,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-267,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-267,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-267,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-268,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-268,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-268,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-269,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-269,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-269,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-27,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-27,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-27,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-270,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-270,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-270,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-271,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-271,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-271,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-272,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-272,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-272,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-273,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-273,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-273,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-274,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-274,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-274,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-275,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-275,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-275,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-276,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-276,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-276,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-277,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-277,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-277,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-278,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-278,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-278,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-279,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-279,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-279,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-28,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-28,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-28,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-280,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-280,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-280,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-281,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-281,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-281,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-282,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-282,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-282,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-283,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-283,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-283,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-284,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-284,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-284,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-285,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-285,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-285,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-286,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-286,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-286,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-287,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-287,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-287,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-288,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-288,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-288,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-289,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-289,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-289,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-29,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-29,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-29,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-290,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-290,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-290,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-291,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-291,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-291,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-292,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-292,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-292,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-293,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-293,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-293,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-294,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-294,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-294,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-295,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-295,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-295,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-296,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-296,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-296,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-297,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-297,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-297,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-298,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-298,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-298,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-299,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-299,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-299,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-3,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-3,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-3,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-30,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-30,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-30,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-300,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-300,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-300,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-301,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-301,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-301,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-302,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-302,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-302,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-303,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-303,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-303,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-304,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-304,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-304,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-305,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-305,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-305,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-306,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-306,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-306,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-307,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-307,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-307,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-308,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-308,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-308,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-309,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-309,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-309,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-31,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-31,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-31,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-310,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-310,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-310,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-311,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-311,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-311,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-312,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-312,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-312,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-313,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-313,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-313,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-314,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-314,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-314,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-315,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-315,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-315,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-316,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-316,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-316,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-317,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-317,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-317,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-318,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-318,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-318,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-319,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-319,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-319,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-32,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-32,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-32,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-320,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-320,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-320,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-321,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-321,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-321,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-322,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-322,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-322,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-323,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-323,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-323,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-324,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-324,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-324,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-325,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-325,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-325,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-326,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-326,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-326,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-327,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-327,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-327,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-328,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-328,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-328,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-329,dm,14,80%,1
tasksets/80-percent/14-tasks/taskset-329,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-329,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-33,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-33,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-33,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-330,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-330,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-330,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-331,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-331,edf,14,80%,2
tasksets/80-percent/14-tasks/taskset-331,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-332,dm,14,80%,3
tasksets/80-percent/14-tasks/taskset-332,edf,14,80%,0
tasksets/80-percent/14-tasks/taskset-332,rr,14,80%,2
tasksets/80-percent/14-tasks/taskset-333,dm,14,80%,3
